,Label,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Valid Values,Question,Core Section Number,Module Number
_CLLCPWT,Final child weight: Land-line and Cell-Phone data,Child Weighting Variables,,5,1585-1594,Num,_CLLCPWT,Question:  Final child weight: Land-line and Cell-Phone data  (Raking derived weight),"{'HIDDEN': {'Value Label': 'Data not displayed\nNotes: Floating Decimal Point. Due to the nature of the data or the size of the table for display, this information is not printed for this report', 'Frequency': '445,132', 'Percentage': '100.00', 'Weighted Percentage': '100.00'}}",,,1
_DUALUSE,Dual Phone Use Categories,Weighting Variables,,2,1682,Num,_DUALUSE,Question:  Dual Phone Use Categories,"{'1': {'Value Label': 'Landline frame with a cell phone', 'Frequency': '82,429', 'Percentage': '18.52', 'Weighted Percentage': '9.02'}, '2': {'Value Label': 'Cell phone frame with a landline', 'Frequency': '75,600', 'Percentage': '16.98', 'Weighted Percentage': '26.35'}, '9': {'Value Label': 'No Dual Phone Use', 'Frequency': '287,103', 'Percentage': '64.50', 'Weighted Percentage': '64.63'}}",,,1
_DUALCOR,Dual Phone Use Correction Factor,Weighting Variables,,3,1683-1692,Num,_DUALCOR,Question:  Dual phone use correction factor,"{'HIDDEN': {'Value Label': 'Data not displayed\nNotes: Due to the nature of the data or the size of the table for display, this information is not printed for this report', 'Frequency': '445,132', 'Percentage': '100.00', 'Weighted Percentage': '100.00'}}",,,1
_LLCPWT2,Truncated design weight used in adult combined land line and cell phone raking,Weighting Variables,,4,1693-1702,Num,_LLCPWT2,Question:  Truncated design weight used in adult combined land line and cell phone raking,"{'HIDDEN': {'Value Label': 'Data not displayed\nNotes: Floating Decimal Point. Due to the nature of the data or the size of the table for display, this information is not printed for this report', 'Frequency': '445,132', 'Percentage': '100.00', 'Weighted Percentage': '100.00'}}",,,1
_LLCPWT,Final weight: Land-line and cell-phone data,Weighting Variables,,21,1751-1760,Num,_LLCPWT,Question:  Final weight assigned to each  respondent: Land-line and cell-phone data  (Raking derived weight),"{'HIDDEN': {'Value Label': 'Data not displayed', 'Frequency': '445,132', 'Percentage': '100.00', 'Weighted Percentage': '100.00'}}",,,1
_RFHLTH,Adults with good or better health,Calculated Variables,,1,1899,Num,_RFHLTH,Question:  Adults with good or better health,"{'1': {'Value Label': 'Good or Better Health\nNotes: GENHLTH = 1 or 2 or 3', 'Frequency': '363,920', 'Percentage': '81.76', 'Weighted Percentage': '81.72'}, '2': {'Value Label': 'Fair or Poor Health\nNotes: GENHLTH = 4 or 5', 'Frequency': '80,014', 'Percentage': '17.98', 'Weighted Percentage': '17.98'}, '9': {'Value Label': 'Don\x92t know/Not Sure Or Refused/Missing\nNotes: GENHLTH = 7 or 9 or Missing', 'Frequency': '1,198', 'Percentage': '0.27', 'Weighted Percentage': '0.30'}}",,,1
_PHYS14D,Computed Physical Health Status,Calculated Variables,,1,1900,Num,_PHYS14D,"Question:  3 level not good physical health status: 0 days, 1-13 days, 14-30 days","{'1': {'Value Label': 'Zero days when physical health not good', 'Frequency': '267,819', 'Percentage': '60.17', 'Weighted Percentage': '60.54'}, '2': {'Value Label': '1-13 days when physical health not good', 'Frequency': '108,312', 'Percentage': '24.33', 'Weighted Percentage': '24.38'}, '3': {'Value Label': '14+ days when physical health not good', 'Frequency': '58,074', 'Percentage': '13.05', 'Weighted Percentage': '12.36'}, '9': {'Value Label': 'Don\x92t know/Refused/Missing', 'Frequency': '10,927', 'Percentage': '2.45', 'Weighted Percentage': '2.71'}}",,,2
_MENT14D,Computed Mental Health Status,Calculated Variables,,2,1901,Num,_MENT14D,"Question:  3 level not good mental health status: 0 days, 1-13 days, 14-30 days","{'1': {'Value Label': 'Zero days when mental health not good', 'Frequency': '265,229', 'Percentage': '59.58', 'Weighted Percentage': '56.10'}, '2': {'Value Label': '1-13 days when mental health not good', 'Frequency': '110,616', 'Percentage': '24.85', 'Weighted Percentage': '26.11'}, '3': {'Value Label': '14+ days when mental health not good', 'Frequency': '60,220', 'Percentage': '13.53', 'Weighted Percentage': '15.37'}, '9': {'Value Label': 'Don\x92t know/Refused/Missing', 'Frequency': '9,067', 'Percentage': '2.04', 'Weighted Percentage': '2.41'}}",,,2
_HLTHPLN,Have any health insurance,Calculated Variables,,1,1902,Num,_HLTHPLN,Question:  Adults who had some form of health insurance,"{'1': {'Value Label': 'Have some form of insurance\nNotes: PRIMINSR=1, 2, 3, 4, 5, 6, 7, 8, 9, 10', 'Frequency': '404,229', 'Percentage': '90.81', 'Weighted Percentage': '86.77'}, '2': {'Value Label': 'Do not have some form of health insurance\nNotes: PRIMINSR=88', 'Frequency': '23,018', 'Percentage': '5.17', 'Weighted Percentage': '8.07'}, '9': {'Value Label': 'Don´t know, refused or missing insurance response\nNotes: PRIMINSR=77, 99, or missing', 'Frequency': '17,885', 'Percentage': '4.02', 'Weighted Percentage': '5.16'}}",,,3
_HCVU652,Respondents aged 18-64 with health insurance,Calculated Variables,,2,1903,Num,_HCVU652,Question:  Respondents aged 18-64 who have any form of health insurance,"{'1': {'Value Label': 'Have some form of health insurance\nNotes: 18 <= AGE <=64 and PRIMINSR=1, 2, 3, 4, 5, 6, 7, 8, 9, 10', 'Frequency': '244,591', 'Percentage': '54.95', 'Weighted Percentage': '63.73'}, '2': {'Value Label': 'Do not have any form of health insurance\nNotes: 18 <= AGE <= 64 and PRIMINSR=88', 'Frequency': '21,602', 'Percentage': '4.85', 'Weighted Percentage': '7.75'}, '9': {'Value Label': 'Don\x92t know/Not Sure, Refused or Missing\nNotes: 18 <= AGE <= 64 and PRIMINSR=77, 99, or missing or AGE => 65', 'Frequency': '178,939', 'Percentage': '40.20', 'Weighted Percentage': '28.52'}}",,,3
_TOTINDA,Leisure Time Physical Activity Calculated Variable,Calculated Variables,,1,1904,Num,_TOTINDA,Question:  Adults who reported doing physical activity or exercise during the past 30 days other than their regular job,"{'1': {'Value Label': 'Had physical activity or exercise\nNotes: EXERANY2 = 1', 'Frequency': '337,559', 'Percentage': '75.83', 'Weighted Percentage': '75.85'}, '2': {'Value Label': 'No physical activity or exercise in last 30 days\nNotes: EXERANY2 = 2', 'Frequency': '106,480', 'Percentage': '23.92', 'Weighted Percentage': '23.85'}, '9': {'Value Label': 'Don\x92t know/Refused/Missing\nNotes: EXERANY2 = 7 or 9 or Missing', 'Frequency': '1,093', 'Percentage': '0.25', 'Weighted Percentage': '0.29'}}",,,4
_EXTETH3,Adults aged 18+ that have had permanent teeth extracted,Calculated Variables,,1,1905,Num,_EXTETH3,Question:  Adults aged 18+ who have had permanent teeth extracted,"{'1': {'Value Label': 'Not at risk\nNotes: RMVTETH4=8', 'Frequency': '233,455', 'Percentage': '52.45', 'Weighted Percentage': '56.81'}, '2': {'Value Label': 'At risk\nNotes: RMVTETH4=1 or 2 or 3', 'Frequency': '200,317', 'Percentage': '45.00', 'Weighted Percentage': '40.71'}, '9': {'Value Label': 'Don\x92t know/Not Sure Or Refused/Missing\nNotes: RMVTETH4=7 or 9 or Missing', 'Frequency': '11,360', 'Percentage': '2.55', 'Weighted Percentage': '2.48'}}",,,6
_ALTETH3,Adults aged 65+ who have had all their natural teeth extracted,Calculated Variables,,2,1906,Num,_ALTETH3,Question:  Adults aged 65+ who have had all their natural teeth extracted,"{'1': {'Value Label': 'No\nNotes: AGE>= 65 and RMVTETH4=1 or 2 or 8', 'Frequency': '136,179', 'Percentage': '80.86', 'Weighted Percentage': '76.53'}, '2': {'Value Label': 'Yes\nNotes: AGE>= 65 and RMVTETH4=3', 'Frequency': '16,726', 'Percentage': '9.93', 'Weighted Percentage': '10.58'}, '9': {'Value Label': 'Don\x92t know/Not Sure Or Refused/Missing\nNotes: AGE>= 65 or =7 or 9 or Missing and RMVTETH4=7 or 9 or Missing', 'Frequency': '15,514', 'Percentage': '9.21', 'Weighted Percentage': '12.89'}, 'BLANK': {'Value Label': 'Missing or Age < 65\nNotes: 18 <= AGE <= 64', 'Frequency': '276,713', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,6
_DENVST3,"Adults that have visited a dentist, dental hygenist or dental clinic within the past year",Calculated Variables,,3,1907,Num,_DENVST3,"Question:  Adults who have visited a dentist, dental hygenist or dental clinic within the past year","{'1': {'Value Label': 'Yes\nNotes: LASTDEN4=1', 'Frequency': '292,408', 'Percentage': '65.69', 'Weighted Percentage': '62.66'}, '2': {'Value Label': 'No\nNotes: LASTDEN4=2 or 3 or 4', 'Frequency': '145,703', 'Percentage': '32.73', 'Weighted Percentage': '35.42'}, '9': {'Value Label': 'Don\x92t know/Not Sure Or Refused/Missing\nNotes: LASTDEN4=7 or 9 or Missing', 'Frequency': '7,017', 'Percentage': '1.58', 'Weighted Percentage': '1.93'}, 'BLANK': {'Value Label': 'Missing', 'Frequency': '4', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,6
_MICHD,Ever had CHD or MI,Calculated Variables,,1,1908,Num,_MICHD,Question:  Respondents that have ever reported having coronary heart disease (CHD) or myocardial infarction (MI),"{'1': {'Value Label': 'Reported having MI or CHD\nNotes: CVDINFR4=1 OR CVDCRHD4=1', 'Frequency': '39,751', 'Percentage': '9.03', 'Weighted Percentage': '6.90'}, '2': {'Value Label': 'Did not report having MI or CHD\nNotes: CVDINFR4=2 AND CVDCRHD4=2', 'Frequency': '400,360', 'Percentage': '90.97', 'Weighted Percentage': '93.10'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: CVDINFR4=7, 9 OR MISSING OR CVDCRHD4=7, 9, OR MISSING', 'Frequency': '5,021', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,7
_LTASTH1,Lifetime Asthma Calculated Variable,Calculated Variables,,2,1909,Num,_LTASTH1,Question:  Adults who have ever been told they have asthma,"{'1': {'Value Label': 'No\nNotes: ASTHMA3 = 2', 'Frequency': '376,665', 'Percentage': '84.62', 'Weighted Percentage': '84.34'}, '2': {'Value Label': 'Yes\nNotes: ASTHMA3 = 1', 'Frequency': '66,694', 'Percentage': '14.98', 'Weighted Percentage': '15.17'}, '9': {'Value Label': 'Don\x92t know/Not Sure Or Refused/Missing\nNotes: ASTHMA3 = 7 or 9 or Missing', 'Frequency': '1,773', 'Percentage': '0.40', 'Weighted Percentage': '0.49'}}",,,7
_CASTHM1,Current Asthma Calculated Variable,Calculated Variables,,3,1910,Num,_CASTHM1,Question:  Adults who have been told they currently have asthma,"{'1': {'Value Label': 'No\nNotes: ASTHMA3 = 2 or ASTHMA3 = 1 and ASTHNOW = 2', 'Frequency': '395,613', 'Percentage': '88.88', 'Weighted Percentage': '89.14'}, '2': {'Value Label': 'Yes\nNotes: ASTHMA3 = 1 and ASTHNOW = 1', 'Frequency': '45,659', 'Percentage': '10.26', 'Weighted Percentage': '9.82'}, '9': {'Value Label': 'Don\x92t know/Not Sure Or Refused/Missing\nNotes: ASTHMA3 = 7 or 9 or Missing or ASTHNOW = 7 or 9 or Missing', 'Frequency': '3,860', 'Percentage': '0.87', 'Weighted Percentage': '1.04'}}",,,7
_ASTHMS1,Computed Asthma Status,Calculated Variables,,4,1911,Num,_ASTHMS1,Question:  Computed asthma status,"{'1': {'Value Label': 'Current\nNotes: ASTHMA3 = 1 and ASTHNOW = 1', 'Frequency': '45,659', 'Percentage': '10.26', 'Weighted Percentage': '9.82'}, '2': {'Value Label': 'Former\nNotes: ASTHMA3 = 1 and ASTHNOW = 2', 'Frequency': '18,948', 'Percentage': '4.26', 'Weighted Percentage': '4.80'}, '3': {'Value Label': 'Never\nNotes: ASTHMA3 = 2', 'Frequency': '376,665', 'Percentage': '84.62', 'Weighted Percentage': '84.34'}, '9': {'Value Label': 'Don\x92t know/Not Sure Or Refused/Missing\nNotes: ASTHMA3 = 7 or 9 or Missing or ASTHNOW = 7 or 9 or Missing', 'Frequency': '3,860', 'Percentage': '0.87', 'Weighted Percentage': '1.04'}}",,,7
_DRDXAR2,Respondents diagnosed with arthritis,Calculated Variables,,5,1912,Num,_DRDXAR2,Question:  Respondents who have had a doctor diagnose them as having some form of arthritis,"{'1': {'Value Label': 'Diagnosed with arthritis\nNotes: HAVARTH4 = 1', 'Frequency': '151,148', 'Percentage': '34.16', 'Weighted Percentage': '26.64'}, '2': {'Value Label': 'Not diagnosed with arthritis\nNotes: HAVARTH4 = 2', 'Frequency': '291,351', 'Percentage': '65.84', 'Weighted Percentage': '73.36'}, 'BLANK': {'Value Label': 'Don´t know/Not Sure/Refused/Missing\nNotes: HAVARTH4 = 7 or 9 or Missing', 'Frequency': '2,633', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,7
_PRACE2,Computed Preferred Race,Calculated Race Variables,,3,1969-1970,Num,_PRACE2,Question:  Preferred race category,"{'1': {'Value Label': 'White\nNotes: MRACASC2=10 or MRACASC2>99 and ORACE4=10', 'Frequency': '351,032', 'Percentage': '78.86', 'Weighted Percentage': '68.46'}, '2': {'Value Label': 'Black or African American\nNotes: MRACASC2=20 or MRACASC2>99 and ORACE4=20', 'Frequency': '41,522', 'Percentage': '9.33', 'Weighted Percentage': '13.76'}, '3': {'Value Label': 'American Indian or Alaskan Native\nNotes: MRACASC2=30 or  MRACASC2>99 and ORACE4=30', 'Frequency': '10,147', 'Percentage': '2.28', 'Weighted Percentage': '2.40'}, '4': {'Value Label': 'Asian\nNotes: MRACASC2=40 or  MRACASC2>99 and ORACE4=40', 'Frequency': '14,836', 'Percentage': '3.33', 'Weighted Percentage': '6.54'}, '5': {'Value Label': 'Native Hawaiian or other Pacific Islander\nNotes: MRACASC2=50 or  MRACASC2>99 and ORACE4=50', 'Frequency': '4,070', 'Percentage': '0.91', 'Weighted Percentage': '0.83'}, '7': {'Value Label': 'Multiracial but no preferred race\nNotes: MRACASC2>99 and ORACE4=77 or 99', 'Frequency': '1,664', 'Percentage': '0.37', 'Weighted Percentage': '0.61'}, '88': {'Value Label': 'No race choice given\nNotes: MRACASC2=88', 'Frequency': '8,474', 'Percentage': '1.90', 'Weighted Percentage': '3.74'}, '77': {'Value Label': 'Don\x92t know/Not sure\nNotes: MRACASC2=77', 'Frequency': '4,781', 'Percentage': '1.07', 'Weighted Percentage': '1.78'}, '99': {'Value Label': 'Refused\nNotes: MRACASC2=99', 'Frequency': '8,593', 'Percentage': '1.93', 'Weighted Percentage': '1.88'}, 'BLANK': {'Value Label': 'Missing\nNotes: MRACASC2 = Missing', 'Frequency': '13', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,8
_MRACE2,Calculated non-Hispanic Race including multiracial,Calculated Race Variables,,4,1971-1972,Num,_MRACE2,Question:  Calculated multiracial race categorization,"{'1': {'Value Label': 'White only\nNotes: MRACASC2 = 10', 'Frequency': '346,771', 'Percentage': '77.90', 'Weighted Percentage': '67.12'}, '2': {'Value Label': 'Black or African American only\nNotes: MRACASC2 = 20', 'Frequency': '39,984', 'Percentage': '8.98', 'Weighted Percentage': '13.05'}, '3': {'Value Label': 'American Indian or Alaskan Native only\nNotes: MRACASC2 = 30', 'Frequency': '9,051', 'Percentage': '2.03', 'Weighted Percentage': '2.07'}, '4': {'Value Label': 'Asian Only\nNotes: MRACASC2 = 40,41,42,43,44,45,46,47', 'Frequency': '13,838', 'Percentage': '3.11', 'Weighted Percentage': '6.26'}, '5': {'Value Label': 'Native Hawaiian or other Pacific Islander only\nNotes: MRACASC2 = 50,51,52,53,54', 'Frequency': '3,039', 'Percentage': '0.68', 'Weighted Percentage': '0.72'}, '6': {'Value Label': 'Multiracial\nNotes: MRACASC2 >= 100', 'Frequency': '10,590', 'Percentage': '2.38', 'Weighted Percentage': '3.38'}, '88': {'Value Label': 'No race choice given\nNotes: MRACASC2 = 88', 'Frequency': '8,474', 'Percentage': '1.90', 'Weighted Percentage': '3.74'}, '77': {'Value Label': 'Don\x92t know/Not sure\nNotes: MRACASC2 = 77', 'Frequency': '4,781', 'Percentage': '1.07', 'Weighted Percentage': '1.78'}, '99': {'Value Label': 'Refused\nNotes: MRACASC2 = 99', 'Frequency': '8,593', 'Percentage': '1.93', 'Weighted Percentage': '1.88'}, 'BLANK': {'Value Label': 'Missing\nNotes: MRACASC2 = Missing', 'Frequency': '11', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,8
_HISPANC,"Hispanic, Latino/a, or Spanish origin calculated variable",Calculated Race Variables,,6,1975,Num,_HISPANC,"Question:  Hispanic, Latino/a, or Spanish origin calculated variable","{'1': {'Value Label': 'Hispanic, Latino/a, or Spanish origin', 'Frequency': '42,917', 'Percentage': '9.64', 'Weighted Percentage': '18.18'}, '2': {'Value Label': 'Not of Hispanic, Latino/a, or Spanish origin', 'Frequency': '396,631', 'Percentage': '89.10', 'Weighted Percentage': '80.45'}, '9': {'Value Label': 'Don´t Know, Refused or Missing', 'Frequency': '5,584', 'Percentage': '1.25', 'Weighted Percentage': '1.37'}}",,,8
_RACE1,Computed Race-Ethnicity grouping,Calculated Race Variables,,7,1976,Num,_RACE1,Question:  Race/ethnicity categories,"{'1': {'Value Label': 'White only, non-Hispanic\nNotes: _HISPANC = 2 and _MRACE2 = 10', 'Frequency': '320,421', 'Percentage': '71.98', 'Weighted Percentage': '56.43'}, '2': {'Value Label': 'Black only, non-Hispanic\nNotes: _HISPANC = 2 and _MRACE2 = 20', 'Frequency': '35,446', 'Percentage': '7.96', 'Weighted Percentage': '11.49'}, '3': {'Value Label': 'American Indian or Alaskan Native only, Non-Hispanic\nNotes: _HISPANC = 2 and _MRACE2 = 30', 'Frequency': '6,952', 'Percentage': '1.56', 'Weighted Percentage': '1.16'}, '4': {'Value Label': 'Asian only, non-Hispanic\nNotes: _HISPANC = 2 and _MRACE2 = 40,41,42,43,44,45,46,47', 'Frequency': '13,347', 'Percentage': '3.00', 'Weighted Percentage': '6.05'}, '5': {'Value Label': 'Native Hawaiian or other Pacific Islander only, Non-Hispanic\nNotes: _HISPANC = 2 and _MRACE2 = 50,51,52,53,54', 'Frequency': '2,414', 'Percentage': '0.54', 'Weighted Percentage': '0.48'}, '7': {'Value Label': 'Multiracial, non-Hispanic', 'Frequency': '9,578', 'Percentage': '2.15', 'Weighted Percentage': '3.07'}, '8': {'Value Label': 'Hispanic\nNotes: _HISPANC = 1', 'Frequency': '42,917', 'Percentage': '9.64', 'Weighted Percentage': '18.18'}, '9': {'Value Label': 'Don\x92t know/Not sure/Refused\nNotes: _HISPANC = 7 or 9 or _MRACE2 = 77, 88 or 99 and _HISPANC = 2', 'Frequency': '14,055', 'Percentage': '3.16', 'Weighted Percentage': '3.15'}, 'BLANK': {'Value Label': 'Missing\nNotes: _HISPANC = Missing or _MRACE2 = Missing', 'Frequency': '2', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,8
